Filename;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId;Width;Height
00003.jpg;742;443;765;466;4;1360;800
00004.jpg;906;407;955;459;2;1360;800
00006.jpg;926;350;989;414;2;1360;800
00008.jpg;785;460;811;486;2;1360;800
00009.jpg;925;466;949;490;4;1360;800
00011.jpg;720;338;770;398;1;1360;800
00012.jpg;979;364;1034;418;1;1360;800
00013.jpg;1043;281;1120;356;2;1360;800
00018.jpg;950;455;981;486;4;1360;800
00019.jpg;845;423;888;465;2;1360;800
00023.jpg;998;292;1074;371;1;1360;800
00026.jpg;453;411;492;451;1;1360;800
00027.jpg;969;386;1024;441;2;1360;800
00027.jpg;102;375;157;430;2;1360;800
00054.jpg;1117;473;1146;502;0;1360;800
00056.jpg;729;436;760;467;1;1360;800
00057.jpg;990;418;1036;467;1;1360;800
00060.jpg;819;441;842;464;2;1360;800
00061.jpg;1224;333;1285;394;2;1360;800
00064.jpg;786;447;808;470;2;1360;800
00069.jpg;817;459;838;480;2;1360;800
00071.jpg;794;474;822;502;1;1360;800
00072.jpg;836;456;858;478;4;1360;800
00073.jpg;727;457;748;477;2;1360;800
00073.jpg;430;453;452;475;2;1360;800
00075.jpg;1131;409;1179;456;4;1360;800
00076.jpg;789;471;815;495;2;1360;800
00085.jpg;846;429;875;458;1;1360;800
00087.jpg;912;435;946;470;6;1360;800
00087.jpg;306;421;340;456;6;1360;800
00088.jpg;412;440;436;464;8;1360;800
00088.jpg;956;440;981;464;8;1360;800
00089.jpg;1025;438;1054;468;5;1360;800
00089.jpg;634;447;660;474;5;1360;800
00093.jpg;344;397;379;436;1;1360;800
00093.jpg;1076;339;1119;389;1;1360;800
00095.jpg;698;461;719;481;1;1360;800
00101.jpg;835;406;891;461;5;1360;800
00107.jpg;490;536;529;576;1;1360;800
00109.jpg;990;484;1020;513;3;1360;800
00111.jpg;1091;465;1123;497;3;1360;800
00111.jpg;350;503;382;535;3;1360;800
00112.jpg;366;473;399;508;3;1360;800
00112.jpg;1186;475;1225;514;3;1360;800
00114.jpg;1169;421;1231;484;3;1360;800
